,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
0,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,heat-eat-ready-meals,Heat Eat Ready Meals,
1,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-buds,Baby Buds,
2,cleaning-household,Cleaning Household,,all-purpose-cleaners,All Purpose Cleaners,,kitchen-glass-drain,Kitchen Glass Drain,
3,bakery-cakes-dairy,Bakery Cakes Dairy,,gourmet-breads,Gourmet Breads,,croissants-bagels,Croissants Bagels,
4,cleaning-household,Cleaning Household,,detergents-dishwash,Detergents Dishwash,,dishwash-liquids-pastes,Dishwash Liquids Pastes,
5,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,other-seafood,Other Seafood,
6,gourmet-world-food,Gourmet World Food,,snacks-dry-fruits-nuts,Snacks Dry Fruits Nuts,,nachos-chips,Nachos Chips,
7,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,moisturiser-lotion-oil,Moisturiser Lotion Oil,
8,beauty-hygiene,Beauty Hygiene,,oral-care,Oral Care,,floss-tongue-cleaners,Floss Tongue Cleaners,
9,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,,,
10,kitchen-garden-pets,Kitchen Garden Pets,,cookware-non-stick,Cookware Non Stick,,pressure-cookers,Pressure Cookers,
11,foodgrains-oil-masala,Foodgrains Oil Masala,,salt-sugar-jaggery,Salt Sugar Jaggery,,,,
12,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,organic-sugar-jaggery,Organic Sugar Jaggery,
13,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,organic-edible-oil-ghee,Organic Edible Oil Ghee,
14,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,,,
15,baby-care,Baby Care,,baby-accessories,Baby Accessories,,,,
16,cleaning-household,Cleaning Household,,toilet-floor-other-cleaners,Toilet Floor Other Cleaners,,floor-cleaners,Floor Cleaners,
17,eggs-meat-fish,Eggs Meat Fish,,mutton-lamb,Mutton Lamb,,,,
18,snacks-branded-foods,Snacks Branded Foods,,breakfast-cereals,Breakfast Cereals,,oats-porridge,Oats Porridge,
19,snacks-branded-foods,Snacks Branded Foods,,frozen-veggies-snacks,Frozen Veggies Snacks,,,,
20,baby-care,Baby Care,,baby-diapers-wipes,Baby Diapers Wipes,,baby-wipes,Baby Wipes,
21,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,lips,Lips,
22,foodgrains-oil-masala,Foodgrains Oil Masala,,flours-sooji,Flours Sooji,,wheat-atta,Wheat Atta,
23,eggs-meat-fish,Eggs Meat Fish,,sausages-bacon-salami,Sausages Bacon Salami,,chicken-sausages,Chicken Sausages,
24,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,international-cheese,International Cheese,
25,fruits-vegetables,Fruits Vegetables,,fresh-vegetables,Fresh Vegetables,,cucumber-capsicum,Cucumber Capsicum,
26,beauty-hygiene,Beauty Hygiene,,hair-care,Hair Care,,,,
27,kitchen-garden-pets,Kitchen Garden Pets,,gardening,Gardening,,gardening-tools,Gardening Tools,
28,gourmet-world-food,Gourmet World Food,,chocolates-biscuits,Chocolates Biscuits,,marshmallow-candy-jelly,Marshmallow Candy Jelly,
29,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,kids-5yrs,Kids 5yrs,
30,kitchen-garden-pets,Kitchen Garden Pets,,crockery-cutlery,Crockery Cutlery,,cups-mugs-tumblers,Cups Mugs Tumblers,
31,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,nails,Nails,
32,beverages,Beverages,,water,Water,,spring-water,Spring Water,
33,cleaning-household,Cleaning Household,,all-purpose-cleaners,All Purpose Cleaners,,toilet-cleaners,Toilet Cleaners,
34,baby-care,Baby Care,,baby-accessories,Baby Accessories,,bibs-mittens-booties,Bibs Mittens Booties,
35,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,herbs-seasonings-rubs,Herbs Seasonings Rubs,
36,fruits-vegetables,Fruits Vegetables,,cuts-sprouts,Cuts Sprouts,,,,
37,beauty-hygiene,Beauty Hygiene,,mens-grooming,Mens Grooming,,moustache-beard-care,Moustache Beard Care,
38,foodgrains-oil-masala,Foodgrains Oil Masala,,dals-pulses,Dals Pulses,,toor-channa-moong-dal,Toor Channa Moong Dal,
39,cleaning-household,Cleaning Household,,detergents-dishwash,Detergents Dishwash,,detergent-powder-liquid,Detergent Powder Liquid,
40,snacks-branded-foods,Snacks Branded Foods,,chocolates-candies,Chocolates Candies,,mints-chewing-gum,Mints Chewing Gum,
41,bakery-cakes-dairy,Bakery Cakes Dairy,,gourmet-breads,Gourmet Breads,,bagels-baguette,Bagels Baguette,
42,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,,,
43,beverages,Beverages,,coffee,Coffee,,instant-coffee,Instant Coffee,
44,eggs-meat-fish,Eggs Meat Fish,,eggs,Eggs,,other-eggs,Other Eggs,
45,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,,,
46,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,antiseptics-bandages,Antiseptics Bandages,
47,eggs-meat-fish,Eggs Meat Fish,,eggs,Eggs,,protein-eggs,Protein Eggs,
48,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,,,
49,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,canned-seafood,Canned Seafood,
50,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,balsamic-cider-vinegar,Balsamic Cider Vinegar,
51,kitchen-garden-pets,Kitchen Garden Pets,,crockery-cutlery,Crockery Cutlery,,plates-bowls,Plates Bowls,
52,snacks-branded-foods,Snacks Branded Foods,,biscuits-cookies,Biscuits Cookies,,,,
53,snacks-branded-foods,Snacks Branded Foods,,biscuits-cookies,Biscuits Cookies,,cream-biscuits-wafers,Cream Biscuits Wafers,
54,gourmet-world-food,Gourmet World Food,,snacks-dry-fruits-nuts,Snacks Dry Fruits Nuts,,roasted-seeds-nuts,Roasted Seeds Nuts,
55,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,lip-care,Lip Care,
56,snacks-branded-foods,Snacks Branded Foods,,indian-mithai,Indian Mithai,,fresh-sweets,Fresh Sweets,
